normalized_time,Participant_1493663240_A01890.p,Participant_1496443804_A01890.p
0.0,55.90169943749474,63.166446789415026
0.031,54.378304497290095,63.25345840347388
0.063,60.21627686929839,65.40642170307133
0.094,57.0701322935211,66.6783323126786
0.125,55.018178813915675,65.03076195155643
0.156,56.1159513863928,64.319514923544
0.188,61.0,65.49045732013177
0.219,69.0,65.32227797620043
0.25,73.27346040688948,63.079315151640635
0.281,72.86288492778748,65.03076195155643
0.313,76.13146524269712,65.79513659838392
0.344,81.44937077718895,62.88083968904996
0.375,81.25269226308751,65.54387843269576
0.406,78.74007874011811,66.36264009214823
0.438,75.91442550661897,64.52131430775415
0.469,68.8839603971781,65.03076195155643
0.5,67.15653356152326,66.36264009214823
0.531,64.22616289332565,63.7808748764079
0.563,64.97691897897283,63.773035054010094
0.594,69.40461079784254,67.23838189605696
0.625,68.60757975617562,66.82813778641449
0.656,84.02975663418287,63.88270501473775
0.688,102.96115772464877,64.66065264130884
0.719,103.69667304209909,64.66065264130884
0.75,108.09717850156868,63.3798075099633
0.781,106.51760417883985,64.26507605223851
0.813,106.07073111843813,65.54387843269576
0.844,93.41306118525397,65.1536645170477
0.875,67.26068688320095,64.66065264130884
0.906,56.90342696182718,65.54387843269576
0.938,52.706735812417755,65.1536645170477
0.969,48.28043081829324,65.1536645170477
1.0,46.62617290749907,64.66065264130884
1.031,46.74398357008097,64.66065264130884
1.063,44.955533585978046,65.54387843269576
1.094,47.843494855622744,66.4304147209695
1.125,48.41487374764082,65.54387843269576
1.156,52.182372502598994,64.26507605223851
1.188,61.326992425847855,64.77653896280658
1.219,63.03967004989794,67.48333127521195
1.25,60.71243694664216,78.90500617831546
1.281,60.69596362197407,82.15229759416349
1.313,60.83584469702052,97.57561170702442
1.344,60.70420084310476,98.62048468751307
1.375,70.95068710026705,85.35221145348257
1.406,77.38862965578342,74.43789357578571
1.438,92.83856957105705,54.8270006474912
1.469,102.04900783447137,52.69724850502159
1.5,98.03060746521976,45.71651780264984
1.531,84.26743143112884,50.83306010855534
1.563,80.77747210701756,41.53311931459037
1.594,60.0416522091123,61.62791575252241
1.625,50.33885179461288,61.99193495931547
1.656,55.4346462061408,61.29437168288782
1.688,61.40032573203501,69.44062211702888
1.719,68.39590631024637,67.0
1.75,69.83552104767315,67.4166151627327
1.781,68.82586723027906,74.16872656315464
1.813,64.65291950097846,70.71067811865476
1.844,60.67948582511226,59.21148537234985
1.875,57.245087125446844,64.73020933072904
1.906,57.245087125446844,64.24951361683604
1.938,58.26662852782886,63.41135544995076
1.969,57.879184513951124,72.84229540589725
2.0,60.29925372672534,67.63135367564367
2.031,63.75735251718032,72.18725649309579
2.063,66.12866246946176,59.90826320300064
2.094,68.7749954561976,67.21606950722423
2.125,67.67569726275453,71.90966555338719
2.156,67.48333127521195,63.43500610861482
2.188,67.48333127521195,54.817880294662984
2.219,66.37770710110436,64.63745044476924
2.25,65.28399497579785,67.12674578735364
2.281,64.20280367709809,70.43436661176133
2.313,65.70388116390082,68.97825744392213
2.344,65.70388116390082,60.440052945046304
2.375,64.6297145282261,68.9129886160802
2.406,66.40030120413611,68.25686778632608
2.438,66.1362230551458,65.29931086925804
2.469,65.26101439603893,64.79197481170026
2.5,63.94528911499267,64.389440128021
2.531,64.389440128021,64.66838485689897
2.563,65.03076195155643,64.28841264178172
2.594,64.38167441127949,63.796551630946325
2.625,65.25335240430181,68.09552114493287
2.656,65.25335240430181,69.46941773183363
2.688,66.34003316248794,65.6505902486794
2.719,65.33758489567853,54.29548784199291
2.75,64.7533782902483,53.46026561849464
2.781,61.84658438426491,52.687759489277965
2.813,61.326992425847855,53.49766350038102
2.844,57.99137866959192,56.49778756730214
2.875,58.32666628567074,54.70831746635972
2.906,59.53990258641679,50.33885179461288
2.938,61.53048025166064,102.27903010881556
2.969,62.68173577685928,93.93614852653903
3.0,65.58200972827838,52.78257288158659
3.031,66.07571414672717,68.51277253184256
3.063,64.7688196588451,85.96510920134982
3.094,64.03905058634146,86.09297300012354
3.125,63.182275995725256,74.91328320131217
3.156,65.0384501660364,48.95916665957459
3.188,66.24198064671678,73.13685801290619
3.219,66.61080993352356,108.6370102681402
3.25,66.61080993352356,81.01851640211638
3.281,67.4166151627327,59.21148537234985
3.313,67.83804242458652,70.22107945624305
3.344,64.28841264178172,68.60029154456998
3.375,62.68173577685928,63.96092557178953
3.406,62.68173577685928,77.99358948016176
3.438,65.36053855347276,65.40642170307133
3.469,67.7716754994297,34.55430508634199
3.5,71.23903424387504,67.39436178197698
3.531,73.17103251970687,75.1065909225016
3.563,83.63611660042568,62.369864518050704
3.594,88.82567196480981,64.96922348312314
3.625,98.1936861514018,66.7757440991862
3.656,95.65563234854496,64.53681120105021
3.688,84.4393273303382,66.15889962809237
3.719,77.23988606931007,66.1362230551458
3.75,74.84650960465692,65.79513659838392
3.781,60.315835400000886,63.03967004989794
