normalized_time,Participant_1493663240_A01890.p,Participant_1496443804_A01890.p
0.0,-7.32,143.0
0.02,-12.41,169.3
0.03,-17.33,198.19
0.05,-21.77,229.13
0.06,-25.68,261.93
0.08,-29.13,296.49
0.09,-32.3,331.72
0.11,-35.28,364.69
0.13,-38.13,390.75
0.14,-40.88,404.82
0.16,-43.63,403.48
0.17,-46.36,386.46
0.19,-48.76,356.63
0.2,-50.09,318.48
0.22,-49.25,276.34
0.23,-45.28,233.38
0.25,-37.76,192.02
0.27,-27.21,155.04
0.28,-15.12,126.19
0.3,-3.42,109.43
0.31,6.11,106.84
0.33,12.43,116.58
0.34,15.3,132.23
0.36,15.2,144.18
0.38,12.77,142.72
0.39,8.7,121.22
0.41,3.63,78.34
0.42,-1.61,18.29
0.44,-5.87,-50.54
0.45,-7.77,-118.21
0.47,-6.02,-175.78
0.48,0.14,-217.46
0.5,10.72,-241.57
0.52,24.95,-250.23
0.53,41.53,-248.01
0.55,58.96,-239.96
0.56,75.79,-229.93
0.58,90.92,-219.68
0.59,103.65,-209.23
0.61,113.84,-197.8
0.63,121.93,-184.91
0.64,128.81,-170.92
0.66,135.41,-156.84
0.67,142.28,-143.64
0.69,149.27,-131.63
0.7,155.5,-120.4
0.72,159.75,-109.32
0.73,160.85,-98.23
0.75,158.06,-87.8
0.77,151.2,-79.3
0.78,140.48,-73.82
0.8,126.32,-71.47
0.81,109.21,-71.24
0.83,89.76,-71.52
0.84,68.83,-71.01
0.86,47.48,-69.43
0.88,26.8,-67.57
0.89,7.6,-66.51
0.91,-9.99,-66.64
0.92,-26.46,-67.02
0.94,-42.71,-65.55
0.95,-59.5,-59.8
0.97,-76.82,-48.08
0.98,-93.78,-30.19
1.0,-108.69,-7.38
1.02,-119.74,18.12
1.03,-125.54,43.75
1.05,-125.66,67.14
1.06,-120.67,86.35
1.08,-111.92,100.0
1.09,-101.15,107.36
1.11,-90.12,108.64
1.13,-80.29,104.92
1.14,-72.51,97.99
1.16,-67.07,89.73
1.17,-63.6,81.56
1.19,-61.28,74.14
1.2,-59.2,67.45
1.22,-56.57,61.15
1.23,-52.94,54.88
1.25,-48.06,48.49
1.27,-41.8,41.93
1.28,-34.04,35.26
1.3,-24.79,28.55
1.31,-14.3,21.88
1.33,-3.17,15.2
1.34,7.72,8.24
1.36,17.53,0.54
1.38,25.76,-8.33
1.39,32.38,-18.14
1.41,37.75,-27.68
1.42,42.37,-34.67
1.44,46.55,-36.53
1.45,50.36,-31.31
1.47,53.58,-18.65
1.48,55.87,0.0
1.5,56.89,21.96
1.52,56.41,44.23
1.53,54.24,64.46
1.55,50.39,81.25
1.56,44.92,94.0
1.58,38.07,102.51
1.59,30.14,106.65
1.61,21.41,106.48
1.63,12.07,102.35
1.64,2.19,95.12
1.66,-8.31,86.01
1.67,-19.52,76.29
1.69,-31.43,66.94
1.7,-43.88,58.52
1.72,-56.54,51.13
1.73,-69.05,44.6
1.75,-80.96,38.56
1.77,-91.8,32.54
1.78,-100.89,26.05
1.8,-107.43,18.57
1.81,-110.58,9.72
1.83,-109.69,-0.72
1.84,-104.61,-12.61
1.86,-95.78,-25.39
1.88,-84.14,-37.9
1.89,-70.86,-48.52
