normalized_time,Participant_1493663240_A01890.p,Participant_1496443804_A01890.p
0.0,24.346191,6.682961
0.3,24.387186,6.679119999999999
0.5,24.34363,6.684242
0.8,24.510172,6.682961
1.0,24.439713,6.671436
1.3,24.394873,6.488316
1.5,24.449961,6.478072
1.8,24.529388,6.424288
2.0,24.558853,6.301354
2.3,24.590881,6.388433
2.5,24.671591,6.585639
2.8,24.694651,6.56643
3.0,24.748457,6.507524
3.3,24.715149,6.787967
3.5,24.794577,6.967246
3.8,24.715149,7.09738
4.0,24.780485,7.110186
4.3,24.853506,7.160128
4.5,24.721554,7.160128
4.8,24.862474,7.170372
5.0,24.850945,7.133236
5.3,24.877848,7.00518
5.5,24.843258,6.825902
5.8,24.84454,6.843828999999999
6.0,24.793295,6.944992999999999
6.3,24.544762,6.795167999999999
6.5,24.522984,6.900174000000001
6.8,24.665186,6.915541
7.0,24.749739,6.925785
7.3,24.761269,6.929627
7.5,25.021332,6.886088000000001
7.8,25.294226,6.880966
8.0,25.043131,6.854074000000001
8.3,25.130245,6.864317999999999
8.5,25.105904,6.884807
8.8,25.079,6.891210000000001
9.0,25.20583,6.907857000000001
9.3,25.032881,6.929627
9.5,24.622929,6.946274000000001
9.8,25.035444,6.951396000000001
10.0,24.9842,6.973166
10.3,24.86762,6.978288
10.5,25.128963,6.969324
10.8,24.831749,6.964202
11.0,24.762569,6.984691000000001
11.3,25.011103,6.970605
11.5,24.799721,6.964202
11.8,24.767694,6.961641
12.0,24.789473,6.946274000000001
12.3,24.758726,6.936029
12.5,24.72798,6.942432000000001
12.8,24.731823,6.933468
13.0,24.766413,6.928346
13.3,24.745914,6.921944
13.5,24.734385,6.910419
13.8,24.648552,6.911699
14.0,24.598589,6.921944
14.3,24.585777,6.909138
14.5,24.553751,6.901453999999999
14.8,24.563999,6.902735000000001
15.0,24.561438,6.91298
15.3,24.505068,6.900174000000001
15.5,24.201427,6.900174000000001
15.8,24.13353,6.909138
16.0,24.155308,6.898892999999999
16.3,24.27445,6.879685
16.5,24.165556,6.891210000000001
16.8,24.027197,6.89249
17.0,23.565256,6.893771000000001
17.3,23.610094,6.888649000000001
17.5,23.558849,6.889929
17.8,23.51273,6.878405
18.0,23.000864,6.882246
18.3,23.089102,6.883527000000001
18.5,23.218493,6.875844
18.8,23.337635,6.870721000000001
19.0,23.217213,6.866878999999999
19.3,22.349907,6.872002
19.5,22.267675,6.859196000000001
19.8,22.397068,6.863038
20.0,23.119608,6.863038
20.3,23.312014,6.855353999999999
20.5,23.660473,6.857914999999999
20.8,24.144886,6.860475999999999
21.0,24.01236,6.852792999999999
21.3,24.472275,6.850232000000001
21.5,24.638817,6.860475999999999
21.8,25.080261,6.847671000000001
22.0,25.308317,6.856635000000001
22.3,25.201986,6.852792999999999
22.5,25.187895,6.847671000000001
22.8,25.351875,6.834866000000001
23.0,25.035444,6.838707
23.3,24.863777,6.839988000000001
23.5,25.10078,6.832304
23.8,25.029037,6.837427000000001
24.0,24.967545,6.852792999999999
24.3,24.85737,6.837427000000001
24.5,24.731823,6.82206
24.8,24.748478,6.865599
25.0,24.794598,6.943713000000001
25.3,24.765131,6.887367999999999
25.5,24.783068,6.851512
25.8,24.836874,6.825902
26.0,24.758726,6.823339999999999
26.3,24.771538,6.790046
26.5,24.756165,6.696565
26.8,24.798441,6.412281
27.0,24.929111,6.586919
27.3,24.980356,6.729062
27.5,24.944485,6.791809
27.8,25.316004,6.798211999999999
28.0,25.401838,6.791809
28.3,25.305756,6.771319999999999
28.5,25.294226,6.754672999999999
28.8,25.271166,6.754672999999999
29.0,25.239138,6.746989
29.3,25.267323,6.738025
29.5,25.421055,6.729062
29.8,25.506887,6.721378
30.0,25.432585,6.702169
30.3,25.410807,6.70345
30.5,25.373653,6.695767
30.8,25.290382,6.682961
