normalized_time,Participant_1493663240_A01890.p,Participant_1496443804_A01890.p
0.0,104.55,119.73
1.0,104.62,119.47
2.0,104.65,119.2
3.0,104.53,118.97
4.0,104.27,118.63
5.0,104.0,118.37
6.0,103.72,118.1
7.0,103.4,117.85
8.0,103.1,117.65
9.0,102.82,117.62
10.0,102.53,117.6
11.0,102.23,117.6
12.0,101.88,117.6
13.0,101.55,117.55
14.0,101.25,117.5
15.0,100.97,117.43
16.0,100.73,117.38
17.0,100.55,117.33
18.0,100.37,117.32
19.0,100.25,117.32
20.0,100.17,117.33
21.0,99.82,117.35
22.0,99.5,117.35
23.0,99.18,117.33
24.0,98.93,117.32
25.0,98.67,117.28
26.0,98.37,117.22
27.0,98.13,117.17
28.0,97.9,117.12
29.0,97.68,117.07
30.0,97.5,117.02
31.0,97.33,116.98
32.0,97.18,116.97
33.0,97.07,116.95
34.0,97.02,116.95
35.0,97.05,116.95
36.0,97.02,116.92
37.0,96.98,116.9
38.0,97.0,116.87
39.0,97.02,116.82
40.0,96.98,116.75
41.0,96.92,116.67
42.0,96.83,116.6
43.0,96.7,116.53
44.0,96.62,116.43
45.0,96.45,116.37
46.0,96.32,116.33
47.0,96.22,116.43
48.0,96.1,116.55
49.0,96.02,116.75
50.0,95.9,116.95
51.0,95.85,117.2
52.0,95.78,117.4
53.0,95.73,117.63
54.0,95.7,117.78
55.0,95.67,118.03
56.0,95.57,118.38
57.0,95.43,118.78
58.0,95.35,119.1
59.0,95.23,119.48
60.0,95.13,119.92
61.0,95.08,120.32
62.0,94.98,120.73
63.0,95.03,121.13
64.0,95.22,121.6
65.0,95.4,122.0
66.0,95.58,122.42
67.0,95.8,122.8
68.0,95.9,123.15
69.0,96.0,123.33
70.0,96.1,123.52
71.0,96.17,123.67
72.0,96.22,123.78
73.0,96.23,123.97
74.0,96.18,124.17
75.0,96.03,124.35
76.0,95.83,124.5
77.0,95.63,124.63
78.0,95.43,124.77
79.0,95.18,124.88
80.0,94.85,124.97
81.0,94.48,125.03
82.0,94.07,125.15
83.0,93.6,125.28
84.0,93.1,125.43
85.0,92.9,125.58
86.0,92.67,125.78
87.0,92.4,126.03
88.0,92.07,126.3
89.0,91.68,126.55
90.0,91.43,126.75
91.0,91.13,126.93
92.0,90.87,127.1
93.0,90.53,127.27
94.0,90.17,127.42
95.0,89.7,127.58
96.0,89.33,127.73
97.0,89.02,127.85
98.0,88.77,128.0
99.0,88.48,128.15
100.0,88.22,128.3
101.0,87.97,128.45
102.0,87.75,128.58
103.0,87.62,128.72
104.0,87.38,128.88
105.0,87.13,129.05
